Number_of_Users,Unicast_Throughput_Mbps,Broadcast_Throughput_Mbps,TR6026_Selected_Throughput_Mbps,AI_Selected_Throughput_Mbps,TR6026_Delivery_Mode,AI_Delivery_Mode,Best_Delivery_Strategy
10,5.0,6.32,5.0,5.0,Unicast,Unicast,Broadcast
20,2.5,4.47,2.5,2.5,Unicast,Unicast,Broadcast
30,1.67,3.65,1.67,1.67,Unicast,Unicast,Broadcast
40,1.25,3.16,1.25,1.25,Unicast,Unicast,Broadcast
50,1.0,2.83,1.0,2.83,Unicast,Broadcast,AI-assisted
60,0.83,2.58,0.83,2.58,Unicast,Broadcast,AI-assisted
70,0.71,2.39,2.39,2.39,Broadcast,Broadcast,AI-assisted
80,0.62,2.24,2.24,2.24,Broadcast,Broadcast,AI-assisted
90,0.56,2.11,2.11,2.11,Broadcast,Broadcast,AI-assisted
100,0.5,2.0,2.0,2.0,Broadcast,Broadcast,AI-assisted
110,0.5,2.0,2.0,2.0,Broadcast,Broadcast,AI-assisted
120,0.5,2.0,2.0,2.0,Broadcast,Broadcast,AI-assisted
130,0.5,2.0,2.0,2.0,Broadcast,Broadcast,AI-assisted
140,0.5,2.0,2.0,2.0,Broadcast,Broadcast,AI-assisted
150,0.5,2.0,2.0,2.0,Broadcast,Broadcast,AI-assisted
160,0.5,2.0,2.0,2.0,Broadcast,Broadcast,AI-assisted
170,0.5,2.0,2.0,2.0,Broadcast,Broadcast,AI-assisted
180,0.5,2.0,2.0,2.0,Broadcast,Broadcast,AI-assisted
190,0.5,2.0,2.0,2.0,Broadcast,Broadcast,AI-assisted
200,0.5,2.0,2.0,2.0,Broadcast,Broadcast,AI-assisted
